date,sessions
2025-01-11,7475
2025-01-12,6882
2025-01-13,11416
2025-01-14,11107
2025-01-15,11564
2025-01-16,10660
2025-01-17,10404
2025-01-18,7898
2025-01-19,6947
2025-01-20,11182
2025-01-21,11462
2025-01-22,12031
2025-01-23,10553
2025-01-24,10070
2025-01-25,7766
2025-01-26,7145
2025-01-27,10760
2025-01-28,10770
2025-01-29,11922
2025-01-30,10592
2025-01-31,10078
2025-02-01,7913
2025-02-02,7455
2025-02-03,11605
2025-02-04,11948
2025-02-05,11142
2025-02-06,10763
2025-02-07,10365
2025-02-08,7705
2025-02-09,7142
2025-02-10,11484
2025-02-11,12065
2025-02-12,11085
2025-02-13,11406
2025-02-14,10378
2025-02-15,7662
2025-02-16,7708
2025-02-17,11085
2025-02-18,11594
2025-02-19,11912
2025-02-20,10703
2025-02-21,11069
2025-02-22,8061
2025-02-23,7053
2025-02-24,11230
2025-02-25,12324
2025-02-26,11815
2025-02-27,11509
2025-02-28,10374
2025-03-01,7693
2025-03-02,7856
2025-03-03,11420
2025-03-04,11639
2025-03-05,11920
2025-03-06,11616
2025-03-07,10799
2025-03-08,7556
2025-03-09,8203
2025-03-10,12033
2025-03-11,12014
2025-03-12,12017
2025-03-13,12120
2025-03-14,10815
2025-03-15,8340
2025-03-16,7833
2025-03-17,12608
2025-03-18,11391
2025-03-19,12842
2025-03-20,11735
2025-03-21,10982
2025-03-22,8163
2025-03-23,7562
2025-03-24,11091
2025-03-25,11522
2025-03-26,12833
2025-03-27,11470
2025-03-28,10714
2025-03-29,8373
2025-03-30,8064
2025-03-31,11841
2025-04-01,12309
2025-04-02,12011
2025-04-03,11215
2025-04-04,10698
2025-04-05,8016
2025-04-06,8455
2025-04-07,11674
2025-04-08,12520
2025-04-09,11825
2025-04-10,12041
2025-04-11,10629
2025-04-12,8465
2025-04-13,7674
2025-04-14,11467
2025-04-15,13082
2025-04-16,12345
2025-04-17,12220
2025-04-18,10698
2025-04-19,7616
2025-04-20,7598
2025-04-21,12610
2025-04-22,12811
2025-04-23,11637
2025-04-24,11578
2025-04-25,10914
2025-04-26,7940
2025-04-27,7594
2025-04-28,12314
2025-04-29,12098
2025-04-30,12530
2025-05-01,12184
2025-05-02,10776
2025-05-03,8425
2025-05-04,7658
2025-05-05,11859
2025-05-06,11773
2025-05-07,12055
2025-05-08,12923
2025-05-09,11101
2025-05-10,7649
2025-05-11,7604
2025-05-12,12808
2025-05-13,11266
2025-05-14,12233
2025-05-15,11647
2025-05-16,10580
2025-05-17,8248
2025-05-18,7686
2025-05-19,11359
2025-05-20,11585
2025-05-21,11602
2025-05-22,11366
2025-05-23,10977
2025-05-24,8188
2025-05-25,7204
2025-05-26,12601
2025-05-27,12747
2025-05-28,11995
2025-05-29,11906
2025-05-30,10709
2025-05-31,8061
2025-06-01,7624
2025-06-02,12285
2025-06-03,12159
2025-06-04,11500
2025-06-05,11394
2025-06-06,11185
2025-06-07,7564
2025-06-08,6912
2025-06-09,11154
2025-06-10,11751
2025-06-11,11625
2025-06-12,10482
2025-06-13,10240
2025-06-14,8613
2025-06-15,7745
2025-06-16,11618
2025-06-17,12139
2025-06-18,12051
2025-06-19,10700
2025-06-20,11141
2025-06-21,8352
2025-06-22,7441
2025-06-23,11022
2025-06-24,11915
2025-06-25,12448
2025-06-26,11923
2025-06-27,10569
2025-06-28,8089
2025-06-29,7776
2025-06-30,11810
2025-07-01,11863
2025-07-02,11243
2025-07-03,11848
2025-07-04,10087
2025-07-05,7842
2025-07-06,7777
2025-07-07,11445
2025-07-08,12380
2025-07-09,11039
2025-07-10,11437
2025-07-11,10156
2025-07-12,7825
2025-07-13,7290
2025-07-14,11770
2025-07-15,11524
2025-07-16,12501
2025-07-17,10934
2025-07-18,9800
2025-07-19,7650
2025-07-20,7431
2025-07-21,11306
2025-07-22,11646
2025-07-23,11599
2025-07-24,10988
2025-07-25,10239
2025-07-26,8079
2025-07-27,7627
2025-07-28,11992
2025-07-29,12011
2025-07-30,12191
2025-07-31,10776
2025-08-01,10592
2025-08-02,7633
2025-08-03,6905
2025-08-04,11214
2025-08-05,11714
2025-08-06,11201
2025-08-07,11409
2025-08-08,10175
2025-08-09,7422
2025-08-10,7404
2025-08-11,11846
2025-08-12,11536
2025-08-13,11439
2025-08-14,10117
2025-08-15,10360
2025-08-16,7599
2025-08-17,6810
2025-08-18,11784
2025-08-19,11491
2025-08-20,11389
2025-08-21,11736
2025-08-22,10184
2025-08-23,7989
2025-08-24,6859
2025-08-25,10599
2025-08-26,11809
2025-08-27,11377
2025-08-28,10716
2025-08-29,9884
2025-08-30,7648
2025-08-31,7503
2025-09-01,10627
2025-09-02,10833
2025-09-03,11078
2025-09-04,11546
2025-09-05,10718
2025-09-06,8139
2025-09-07,7258
2025-09-08,11557
2025-09-09,12001
2025-09-10,11594
2025-09-11,11524
2025-09-12,9654
2025-09-13,7688
2025-09-14,7553
2025-09-15,11829
2025-09-16,11401
2025-09-17,11022
2025-09-18,11089
2025-09-19,9823
2025-09-20,7086
2025-09-21,7215
2025-09-22,10655
2025-09-23,11290
2025-09-24,11473
2025-09-25,10379
2025-09-26,10214
2025-09-27,7614
2025-09-28,7814
2025-09-29,10627
2025-09-30,10573
2025-10-01,10313
2025-10-02,11132
2025-10-03,10176
2025-10-04,8266
2025-10-05,7083
2025-10-06,10863
2025-10-07,11506
2025-10-08,11555
2025-10-09,10786
2025-10-10,9744
2025-10-11,7176
2025-10-12,7033
2025-10-13,11454
2025-10-14,11265
2025-10-15,11344
2025-10-16,11815
2025-10-17,11120
2025-10-18,7972
2025-10-19,7226
2025-10-20,10666
2025-10-21,11309
2025-10-22,11300
2025-10-23,11018
2025-10-24,10130
2025-10-25,7863
2025-10-26,6950
2025-10-27,11262
2025-10-28,11456
2025-10-29,11405
2025-10-30,11219
2025-10-31,10176
2025-11-01,7150
2025-11-02,7216
2025-11-03,11758
2025-11-04,12392
2025-11-05,12334
2025-11-06,11588
2025-11-07,9309
2025-11-08,8652
2025-11-09,7740
2025-11-10,11461
2025-11-11,11332
2025-11-12,11098
2025-11-13,10955
2025-11-14,9950
2025-11-15,7731
2025-11-16,7658
2025-11-17,10967
2025-11-18,11311
2025-11-19,11245
2025-11-20,11647
2025-11-21,11611
2025-11-22,8657
2025-11-23,7616
2025-11-24,11468
2025-11-25,11231
2025-11-26,11762
2025-11-27,11577
2025-11-28,10936
2025-11-29,8569
2025-11-30,7666
2025-12-01,12244
2025-12-02,11990
2025-12-03,11313
2025-12-04,11200
2025-12-05,9903
2025-12-06,7910
2025-12-07,7460
2025-12-08,11820
2025-12-09,13117
2025-12-10,12470
2025-12-11,10722
2025-12-12,10846
2025-12-13,7947
2025-12-14,7743
2025-12-15,11556
2025-12-16,12464
2025-12-17,12511
2025-12-18,12061
2025-12-19,11244
2025-12-20,8819
2025-12-21,7434
2025-12-22,11940
2025-12-23,12194
2025-12-24,12269
2025-12-25,11803
2025-12-26,10601
2025-12-27,7827
2025-12-28,8024
2025-12-29,11896
2025-12-30,12212
